radius,bw,k_local,k_season,tau_days,eligible,nights_scored,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,selection_score
1000,1.5,10,20,120.0,98,29,95.0,109.34693877551021,20,0.20408163265306123,27,0.2755102040816326,47,0.47959183673469385,63,0.6428571428571429,3.1129535147392287
2000,1.5,5,5,120.0,98,29,88.0,114.83673469387755,13,0.1326530612244898,34,0.3469387755102041,51,0.5204081632653061,61,0.6224489795918368,3.1124716553287985
2000,1.5,5,10,120.0,98,29,88.0,114.83673469387755,13,0.1326530612244898,34,0.3469387755102041,51,0.5204081632653061,61,0.6224489795918368,3.1124716553287985
3000,1.0,5,5,,98,29,90.5,120.26530612244898,14,0.14285714285714285,34,0.3469387755102041,49,0.5,61,0.6224489795918368,3.1089994331065762
1000,2.0,5,5,240.0,98,29,90.5,109.73469387755102,19,0.19387755102040816,27,0.2755102040816326,49,0.5,62,0.6326530612244898,3.108999433106576
1000,1.5,10,20,,98,29,93.5,109.93877551020408,19,0.19387755102040816,27,0.2755102040816326,48,0.4897959183673469,64,0.6530612244897959,3.1048327664399094
1000,2.0,5,5,120.0,98,29,90.5,108.71428571428571,18,0.1836734693877551,27,0.2755102040816326,49,0.5,65,0.6632653061224489,3.0987953514739224
2000,1.5,5,5,,98,29,87.0,117.38775510204081,15,0.15306122448979592,31,0.3163265306122449,51,0.5204081632653061,60,0.6122448979591837,3.0934523809523813
2000,1.5,5,10,,98,29,87.0,117.38775510204081,15,0.15306122448979592,31,0.3163265306122449,51,0.5204081632653061,60,0.6122448979591837,3.0934523809523813
2000,1.5,5,20,,98,29,87.0,117.6938775510204,15,0.15306122448979592,31,0.3163265306122449,51,0.5204081632653061,60,0.6122448979591837,3.0934523809523813
1000,2.0,5,10,120.0,98,29,90.5,108.71428571428571,18,0.1836734693877551,27,0.2755102040816326,49,0.5,64,0.6530612244897959,3.0885912698412694
1000,2.0,5,10,240.0,98,29,94.5,110.34693877551021,19,0.19387755102040816,27,0.2755102040816326,48,0.4897959183673469,62,0.6326530612244898,3.0830357142857143
1000,1.5,10,20,240.0,98,29,93.5,109.93877551020408,19,0.19387755102040816,26,0.2653061224489796,48,0.4897959183673469,64,0.6530612244897959,3.07422052154195
2000,1.5,10,20,120.0,98,29,95.5,112.73469387755102,16,0.16326530612244897,31,0.3163265306122449,47,0.47959183673469385,63,0.6428571428571429,3.0714427437641723
1000,2.0,10,20,,98,29,89.5,109.79591836734694,17,0.17346938775510204,28,0.2857142857142857,50,0.5102040816326531,61,0.6224489795918368,3.0695719954648526
3000,1.0,5,5,240.0,98,29,91.0,118.48979591836735,14,0.14285714285714285,33,0.336734693877551,48,0.4897959183673469,62,0.6326530612244898,3.0674886621315194
