night,capture_count,positive,multi2,multi3,multi5,sin_month,cos_month,sin_doy,cos_doy,prior_mean_count,prior30_mean_count,prior14_mean_count,prior30_active_nights,prior14_active_nights,temp_mean,temp_min,humidity_mean,dewpoint_mean,precip_sum,pressure_mean,cloud_mean,weather_max
2026-07-01,4,1,1,1,0,-0.4999999999999997,-0.8660254037844388,0.01075130776352193,-0.9999422030204416,4.3,4.285714285714286,4.875,14,8,26.369230769230764,25.8,92.15384615384616,24.99230769230769,0.0,1010.5230769230768,90.15384615384616,3
2026-07-08,2,1,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.10944576864891556,-0.993992768446958,4.4,4.230769230769231,5.25,13,4,26.74615384615385,26.4,84.46153846153847,23.93076923076923,0.1,1006.7923076923076,32.07692307692308,51
2026-07-09,2,1,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.12652781683868314,-0.9919630595773397,4.5,4.071428571428571,5.0,14,4,27.56923076923077,27.2,89.38461538461539,25.62307692307692,0.1,1005.6307692307691,75.61538461538461,51
2026-07-10,2,1,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.1435724234118113,-0.9896398128792412,4.4,3.933333333333333,4.4,15,5,27.561538461538458,26.7,85.15384615384616,24.807692307692307,1.8000000000000003,1003.1923076923078,98.15384615384616,53
2026-07-16,3,1,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.24477230089725957,-0.9695805901076308,4.2,3.8461538461538463,2.0,13,3,27.50769230769231,27.0,90.53846153846153,25.815384615384616,0.1,1004.6692307692307,92.07692307692308,51
2026-07-17,3,1,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.2614143985111562,-0.965226663665613,4.1,4.0,2.25,13,4,27.215384615384615,26.5,93.3076923076923,26.02307692307693,0.2,1003.4615384615385,57.15384615384615,51
2026-07-20,3,1,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.3108569682435036,-0.9504567035349151,3.8,4.0,2.4,12,5,27.4,26.4,86.0,24.807692307692307,0.0,1007.3692307692309,12.538461538461538,1
2026-07-22,1,1,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.34336687399638804,-0.939201357453208,3.6,3.9166666666666665,2.5,12,6,27.084615384615383,26.2,88.3076923076923,24.946153846153848,0.2,1008.3615384615385,9.846153846153847,51
2026-07-24,4,1,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.3754703786876202,-0.9268343944460494,3.4,3.3636363636363638,2.4,11,5,27.900000000000002,27.1,87.38461538461539,25.584615384615386,0.0,1010.1384615384616,97.15384615384616,3
2026-07-25,5,1,1,1,1,-0.4999999999999997,-0.8660254037844388,-0.3913578365610259,-0.9202385798054075,2.8,3.4545454545454546,2.8,11,5,27.084615384615386,25.9,90.76923076923077,25.423076923076923,0.3,1009.4923076923077,22.46153846153846,51
2026-07-26,2,1,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.4071294853542516,-0.9133704517637858,2.9,3.5833333333333335,3.1666666666666665,12,6,26.700000000000003,25.6,92.53846153846153,25.376923076923074,0.6,1009.0538461538462,11.76923076923077,51
2026-07-30,3,1,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.46896519100763184,-0.8832166493127127,2.7,2.9166666666666665,3.0,12,7,26.861538461538462,25.7,84.76923076923077,24.023076923076925,0.0,1008.7153846153847,5.230769230769231,1
2026-07-31,1,1,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.48408852163897587,-0.8750190302029955,2.8,2.8333333333333335,3.0,12,7,27.01538461538462,25.9,83.3076923076923,23.915384615384614,0.0,1007.5615384615386,14.307692307692308,1
2026-08-01,3,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.4990686026885319,-0.8665624788845385,2.7,2.5833333333333335,2.7142857142857144,12,7,28.04615384615385,27.1,80.6923076923077,24.384615384615383,0.1,1006.7692307692307,16.76923076923077,51
2026-08-02,3,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.5139010013093103,-0.8578494977869301,2.8,2.6153846153846154,2.75,13,8,27.83076923076923,27.1,81.92307692307692,24.461538461538467,0.0,1005.9461538461538,49.15384615384615,3
2026-08-03,2,1,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.5285813283559292,-0.8488826652214553,2.8,2.642857142857143,2.7777777777777777,14,9,27.08461538461539,26.1,88.53846153846153,25.015384615384615,0.9999999999999999,1004.6307692307693,41.61538461538461,53
2026-08-05,2,1,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.5574684374327892,-0.8301981337405212,2.7,2.6,2.6666666666666665,15,9,27.992307692307694,27.1,79.3076923076923,24.092307692307696,0.4,997.5076923076922,74.84615384615384,51
2026-08-09,2,1,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.6132298262997502,-0.7899045386224707,2.6,2.642857142857143,2.2857142857142856,14,7,26.72307692307693,26.0,92.38461538461539,25.369230769230764,1.4000000000000001,1000.1615384615385,99.53846153846153,51
2026-08-11,2,1,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.6400381082043503,-0.7683431655492202,2.7,2.642857142857143,2.2857142857142856,14,7,25.546153846153842,24.4,88.15384615384616,23.43846153846154,0.1,1000.8615384615385,96.92307692307692,51
2026-08-12,4,1,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.65316012232693,-0.7572198192083127,2.5,2.6,2.25,15,8,25.415384615384617,25.1,87.61538461538461,23.215384615384615,0.30000000000000004,999.8076923076923,24.307692307692307,51
