radius_m,bandwidth_h,local_weight,min_local,tau_days,eligible,nights_scored,median_absolute_error_minutes,mean_absolute_error_minutes,within_30m_hits,within_30m_rate,within_30m_wilson95,within_60m_hits,within_60m_rate,within_60m_wilson95,within_90m_hits,within_90m_rate,within_90m_wilson95,selection_score
3000,1.5,0.8,1,,98,29,92.5,114.75510204081633,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.619437358276644
3000,1.5,0.8,2,,98,29,92.5,115.06122448979592,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.619437358276644
3000,1.5,0.8,3,,98,29,92.5,115.36734693877551,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.619437358276644
500,1.5,0.99,1,90.0,98,29,96.5,110.95918367346938,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",31,0.3163265306122449,"[0.23266923518824523, 0.41384063896927004]",46,0.46938775510204084,"[0.37360789598305366, 0.567477083043199]",1.6166595804988664
500,2.0,0.95,2,90.0,98,29,96.5,107.10204081632654,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6166595804988662
1000,2.0,0.99,1,90.0,98,29,82.0,111.04081632653062,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",55,0.5612244897959183,"[0.46250823376575, 0.6553218081817449]",1.6165249433106577
1000,2.0,0.95,1,90.0,98,29,86.0,108.91836734693878,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.61374716553288
1500,2.0,0.99,1,90.0,98,29,86.5,117.40816326530613,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",53,0.5408163265306123,"[0.4424786494488038, 0.6360747118495262]",1.6133999433106576
3000,1.5,0.95,3,180.0,98,29,87.0,114.22448979591837,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",34,0.3469387755102041,"[0.26008447663750445, 0.44534041849375827]",51,0.5204081632653061,"[0.42260631994489084, 0.6166703607042743]",1.6130527210884356
1500,2.0,0.95,2,180.0,98,29,88.0,113.08163265306122,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.612358276643991
2000,1.5,0.95,2,90.0,98,29,89.5,112.18367346938776,14,0.14285714285714285,"[0.0870439104644005, 0.2256141781752124]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.6113166099773244
2000,2.0,0.8,1,180.0,98,29,95.0,111.3061224489796,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.6074971655328796
2000,2.0,0.8,2,180.0,98,29,95.0,111.61224489795919,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.6074971655328796
