canonical_id,timestamp,individual_count,lat,lon,segment_id,event_match_distance_m,positive_learning_rows,nearest_visit_delta_s,audit_status
188,2026-07-01 02:04:00+09:00,1,28.16887255304391,129.3641557379789,OSM_ro37_0_22,3.3830719091390793,1,0.0,ok
189,2026-07-01 03:02:00+09:00,1,28.16867053969347,129.2986095970786,OSM_ro877_0_8,0.8266895956444645,1,0.0,ok
190,2026-07-01 03:22:00+09:00,1,28.17869531783585,129.2943885630964,OSM_ro780_0_30,0.12443164400219998,1,0.0,ok
196,2026-08-02 00:50:00+09:00,1,28.16784377023349,129.3368015044549,OSM_ro51_0_4,0.35045061575850067,1,0.0,ok
197,2026-08-02 01:43:00+09:00,1,28.16391857735673,129.3904589187808,OSM_ro440_0_94,8.19135258529476,1,0.0,ok
198,2026-08-02 02:20:00+09:00,1,28.17448552822773,129.3991489164011,OSM_ro249_0_14,2.8956476261248,1,0.0,ok
200,2026-08-03 00:01:00+09:00,1,28.1401033329104,129.3488082537958,OSM_ro136_0_263,3.424745563882787,1,0.0,ok
201,2026-08-03 01:45:00+09:00,1,28.18629334918014,129.3984246550308,OSM_ro191_0_92,7.904262202940849,1,0.0,ok
202,2026-08-03 02:38:00+09:00,1,28.16483521807404,129.394938257724,OSM_ro42_0_53,5.529234156350105,1,0.0,ok
203,2026-08-03 23:34:00+09:00,1,28.16482505232971,129.390767555647,OSM_ro440_0_71,7.365682487283376,1,0.0,ok
204,2026-08-03 23:38:00+09:00,1,28.16396140884933,129.390248644394,OSM_ro440_0_82,6.547825248437777,1,0.0,ok
208,2026-08-06 01:11:00+09:00,1,28.17191374066648,129.3982474991073,OSM_ro249_0_50,10.935592643768318,1,0.0,ok
209,2026-08-06 01:47:00+09:00,1,28.16631845715695,129.3876464208157,OSM_ro364_0_65,2.572520657749399,1,0.0,ok
211,2026-08-10 00:03:00+09:00,1,28.17113135385257,129.3963921663737,OSM_ro142_0_7,3.022317222723356,1,0.0,ok
212,2026-08-10 01:38:00+09:00,1,28.16864873235512,129.2987224485423,OSM_ro877_0_9,0.9767340368136103,1,0.0,ok
213,2026-08-11 23:32:00+09:00,1,28.17893067464573,129.3943322119328,OSM_ro104_0_31,1.1467311327688998,1,0.0,ok
214,2026-08-12 00:15:00+09:00,1,28.16499992144932,129.3963838515218,OSM_ro42_0_81,7.124416214651991,1,0.0,ok
215,2026-08-12 22:28:00+09:00,1,28.16443546510732,129.3951324019098,OSM_ro42_0_58,4.810855312291939,1,0.0,ok
216,2026-08-12 23:12:00+09:00,1,28.17642769034414,129.3955752641599,OSM_ro289_0_1,9.38228706090637,1,0.0,ok
217,2026-08-13 01:42:00+09:00,1,28.17024567113178,129.3000524386923,GPXROAD_90b0ecfe5fbc_0,2.7687423958329087,1,0.0,ok
218,2026-08-13 02:01:00+09:00,1,28.19472165899677,129.2832366336449,OSM_ro916_0_93,2.4807270206608987,1,0.0,ok
220,2026-08-13 21:04:00+09:00,1,28.16596370234442,129.3383174166765,OSM_ro103_0_11,8.963978675689647,1,1.999,ok
221,2026-08-13 23:32:00+09:00,1,28.16531418620288,129.3843050275264,OSM_ro364_0_24,0.3529005394085905,1,25.001,ok
222,2026-08-15 21:48:00+09:00,1,28.18332996378373,129.3964131646259,OSM_ro280_0_52,3.3511400691853472,1,106.0,ok
223,2026-08-15 23:20:00+09:00,1,28.16694657884455,129.371365754195,OSM_ro37_0_149,0.9523248147631934,1,0.0,ok
224,2026-08-16 00:25:00+09:00,1,28.17024216566392,129.3029272593291,GPXROAD_90b0ecfe5fbc_31,0.30739554877003944,2,12.999,ok
