night,phase,rank,slot_time,score
2026-08-17,selection,120,2026-08-18T00:20:00+09:00,0.8244247505736612
2026-08-17,selection,121,2026-08-17T23:30:00+09:00,0.8230305257536109
2026-08-17,selection,122,2026-08-17T23:00:00+09:00,0.8230305257536109
2026-08-17,selection,123,2026-08-17T23:20:00+09:00,0.8225367365608628
2026-08-17,selection,124,2026-08-17T23:10:00+09:00,0.821869857546514
2026-08-17,selection,125,2026-08-17T23:50:00+09:00,0.821869857546514
2026-08-17,selection,126,2026-08-18T02:50:00+09:00,0.8215572589601321
2026-08-17,selection,127,2026-08-18T02:20:00+09:00,0.8215572589601321
2026-08-17,selection,128,2026-08-18T02:20:00+09:00,0.818614508253334
2026-08-17,selection,129,2026-08-18T02:50:00+09:00,0.818614508253334
2026-08-17,selection,130,2026-08-18T02:20:00+09:00,0.8131686610029925
2026-08-17,selection,131,2026-08-18T02:50:00+09:00,0.8131686610029925
2026-08-17,selection,132,2026-08-18T00:00:00+09:00,0.8121169041096685
2026-08-17,selection,133,2026-08-18T00:40:00+09:00,0.8121169041096685
2026-08-17,selection,134,2026-08-18T02:50:00+09:00,0.8114548168505443
2026-08-17,selection,135,2026-08-18T02:10:00+09:00,0.8114548168505443
2026-08-17,selection,136,2026-08-18T01:30:00+09:00,0.8103983780439338
2026-08-17,selection,137,2026-08-18T00:00:00+09:00,0.8075625575707656
2026-08-17,selection,138,2026-08-18T00:30:00+09:00,0.8075625575707656
2026-08-17,selection,139,2026-08-18T02:30:00+09:00,0.802388409559562
2026-08-17,selection,140,2026-08-18T02:30:00+09:00,0.8018609826365517
2026-08-17,selection,141,2026-08-18T02:40:00+09:00,0.801373173646934
2026-08-17,selection,142,2026-08-18T00:30:00+09:00,0.8011847553146911
2026-08-17,selection,143,2026-08-18T00:00:00+09:00,0.8011847553146911
2026-08-17,selection,144,2026-08-18T02:30:00+09:00,0.7999493556219307
2026-08-17,selection,145,2026-08-18T01:20:00+09:00,0.7988301664435398
2026-08-17,selection,146,2026-08-18T01:50:00+09:00,0.7988301664435398
2026-08-17,selection,147,2026-08-18T00:00:00+09:00,0.797173297490883
2026-08-17,selection,148,2026-08-18T00:50:00+09:00,0.797173297490883
2026-08-17,selection,149,2026-08-18T02:40:00+09:00,0.7939289902238593
2026-08-17,selection,150,2026-08-18T01:20:00+09:00,0.7935721275107077
2026-08-17,selection,151,2026-08-18T01:50:00+09:00,0.7935721275107077
2026-08-17,selection,152,2026-08-18T00:00:00+09:00,0.7906803185535918
2026-08-17,selection,153,2026-08-18T00:30:00+09:00,0.7906803185535918
2026-08-17,selection,154,2026-08-17T22:20:00+09:00,0.7832970834336557
2026-08-17,selection,155,2026-08-17T22:30:00+09:00,0.7828205677194431
2026-08-17,selection,156,2026-08-17T22:00:00+09:00,0.7828205677194431
2026-08-17,selection,157,2026-08-17T22:30:00+09:00,0.7820385499538549
2026-08-17,selection,158,2026-08-17T22:00:00+09:00,0.7820385499538549
2026-08-17,selection,159,2026-08-17T22:30:00+09:00,0.7814297125332259
2026-08-17,selection,160,2026-08-17T22:00:00+09:00,0.7814297125332259
2026-08-17,selection,161,2026-08-18T00:20:00+09:00,0.7809552248220878
2026-08-17,selection,162,2026-08-18T00:50:00+09:00,0.7809552248220878
2026-08-17,selection,163,2026-08-18T02:20:00+09:00,0.7800503394944297
2026-08-17,selection,164,2026-08-18T02:50:00+09:00,0.7800503394944297
2026-08-17,selection,165,2026-08-17T23:10:00+09:00,0.7800205341987039
2026-08-17,selection,166,2026-08-17T23:50:00+09:00,0.7800205341987039
2026-08-17,selection,167,2026-08-18T00:50:00+09:00,0.7788741710625172
